time	AX	AY	AZ	GX	GY	GZ
10	0,050	-0,203	9,782	0,099	-0,367	-0,690
20	0,050	-0,203	9,782	0,099	-0,367	-0,690
30	0,050	-0,203	9,782	0,099	-0,367	-0,690
40	0,050	-0,203	9,782	0,099	-0,367	-0,690
50	0,050	-0,203	9,782	0,099	-0,367	-0,690
60	0,050	-0,203	9,782	0,099	-0,367	-0,690
70	0,050	-0,203	9,782	0,099	-0,367	-0,690
80	0,062	-0,156	9,748	0,090	-0,332	-0,641
90	0,062	-0,156	9,748	0,090	-0,332	-0,641
100	0,062	-0,156	9,748	0,090	-0,332	-0,641
110	0,062	-0,156	9,748	0,090	-0,332	-0,641
120	0,062	-0,156	9,748	0,090	-0,332	-0,641
130	0,062	-0,156	9,748	0,090	-0,332	-0,641
140	0,062	-0,156	9,748	0,090	-0,332	-0,641
150	0,062	-0,156	9,748	0,090	-0,332	-0,641
160	0,062	-0,156	9,748	0,090	-0,332	-0,641
170	0,062	-0,156	9,748	0,090	-0,332	-0,641
180	0,062	-0,156	9,748	0,090	-0,332	-0,641
190	0,062	-0,156	9,748	0,090	-0,332	-0,641
200	0,062	-0,156	9,748	0,090	-0,332	-0,641
210	0,062	-0,156	9,748	0,090	-0,332	-0,641
220	0,062	-0,156	9,748	0,090	-0,332	-0,641
230	0,062	-0,156	9,748	0,090	-0,332	-0,641
240	0,062	-0,156	9,748	0,090	-0,332	-0,641
250	0,062	-0,156	9,748	0,090	-0,332	-0,641
260	0,062	-0,156	9,748	0,090	-0,332	-0,641
270	0,084	-0,148	9,763	0,080	-0,300	-0,588
280	0,084	-0,148	9,763	0,080	-0,300	-0,588
290	0,084	-0,148	9,763	0,080	-0,300	-0,588
300	0,084	-0,148	9,763	0,080	-0,300	-0,588
310	0,084	-0,148	9,763	0,080	-0,300	-0,588
320	0,084	-0,148	9,763	0,080	-0,300	-0,588
330	0,084	-0,148	9,763	0,080	-0,300	-0,588
340	0,084	-0,148	9,763	0,080	-0,300	-0,588
350	0,084	-0,148	9,763	0,080	-0,300	-0,588
360	0,084	-0,148	9,763	0,080	-0,300	-0,588
370	0,084	-0,148	9,763	0,080	-0,300	-0,588
380	0,084	-0,148	9,763	0,080	-0,300	-0,588
390	0,084	-0,148	9,763	0,080	-0,300	-0,588
400	0,084	-0,148	9,763	0,080	-0,300	-0,588
410	0,084	-0,148	9,763	0,080	-0,300	-0,588
420	0,084	-0,148	9,763	0,080	-0,300	-0,588
430	0,084	-0,148	9,763	0,080	-0,300	-0,588
440	0,084	-0,148	9,763	0,080	-0,300	-0,588
450	0,084	-0,148	9,763	0,080	-0,300	-0,588
460	0,091	-0,163	9,748	0,070	-0,270	-0,535
470	0,091	-0,163	9,748	0,070	-0,270	-0,535
480	0,091	-0,163	9,748	0,070	-0,270	-0,535
490	0,091	-0,163	9,748	0,070	-0,270	-0,535
500	0,091	-0,163	9,748	0,070	-0,270	-0,535
510	0,091	-0,163	9,748	0,070	-0,270	-0,535
520	0,091	-0,163	9,748	0,070	-0,270	-0,535
530	0,091	-0,163	9,748	0,070	-0,270	-0,535
540	0,091	-0,163	9,748	0,070	-0,270	-0,535
550	0,091	-0,163	9,748	0,070	-0,270	-0,535
560	0,091	-0,163	9,748	0,070	-0,270	-0,535
570	0,091	-0,163	9,748	0,070	-0,270	-0,535
580	0,091	-0,163	9,748	0,070	-0,270	-0,535
590	0,091	-0,163	9,748	0,070	-0,270	-0,535
600	0,091	-0,163	9,748	0,070	-0,270	-0,535
610	0,091	-0,163	9,748	0,070	-0,270	-0,535
620	0,091	-0,163	9,748	0,070	-0,270	-0,535
630	0,091	-0,163	9,748	0,070	-0,270	-0,535
640	0,091	-0,163	9,748	0,070	-0,270	-0,535
650	0,091	-0,163	9,748	0,070	-0,270	-0,535
660	0,064	-0,194	9,751	0,061	-0,244	-0,486
670	0,064	-0,194	9,751	0,061	-0,244	-0,486
680	0,064	-0,194	9,751	0,061	-0,244	-0,486
690	0,064	-0,194	9,751	0,061	-0,244	-0,486
700	0,064	-0,194	9,751	0,061	-0,244	-0,486
710	0,064	-0,194	9,751	0,061	-0,244	-0,486
720	0,064	-0,194	9,751	0,061	-0,244	-0,486
730	0,064	-0,194	9,751	0,061	-0,244	-0,486
740	0,064	-0,194	9,751	0,061	-0,244	-0,486
750	0,064	-0,194	9,751	0,061	-0,244	-0,486
760	0,064	-0,194	9,751	0,061	-0,244	-0,486
770	0,064	-0,194	9,751	0,061	-0,244	-0,486
780	0,064	-0,194	9,751	0,061	-0,244	-0,486
790	0,064	-0,194	9,751	0,061	-0,244	-0,486
800	0,064	-0,194	9,751	0,061	-0,244	-0,486
810	0,064	-0,194	9,751	0,061	-0,244	-0,486
820	0,064	-0,194	9,751	0,061	-0,244	-0,486
830	0,064	-0,194	9,751	0,061	-0,244	-0,486
840	0,064	-0,194	9,751	0,061	-0,244	-0,486
850	0,062	-0,165	9,777	0,052	-0,220	-0,440
860	0,062	-0,165	9,777	0,052	-0,220	-0,440
870	0,062	-0,165	9,777	0,052	-0,220	-0,440
880	0,062	-0,165	9,777	0,052	-0,220	-0,440
890	0,062	-0,165	9,777	0,052	-0,220	-0,440
900	0,062	-0,165	9,777	0,052	-0,220	-0,440
910	0,062	-0,165	9,777	0,052	-0,220	-0,440
920	0,062	-0,165	9,777	0,052	-0,220	-0,440
930	0,062	-0,165	9,777	0,052	-0,220	-0,440
940	0,062	-0,165	9,777	0,052	-0,220	-0,440
950	0,062	-0,165	9,777	0,052	-0,220	-0,440
960	0,062	-0,165	9,777	0,052	-0,220	-0,440
970	0,062	-0,165	9,777	0,052	-0,220	-0,440
980	0,062	-0,165	9,777	0,052	-0,220	-0,440
990	0,062	-0,165	9,777	0,052	-0,220	-0,440
1000	0,062	-0,165	9,777	0,052	-0,220	-0,440
1010	0,062	-0,165	9,777	0,052	-0,220	-0,440
1020	0,062	-0,165	9,777	0,052	-0,220	-0,440
1030	0,062	-0,165	9,777	0,052	-0,220	-0,440
1040	-0,285	0,010	9,825	0,046	-0,198	-0,400
1050	-0,285	0,010	9,825	0,046	-0,198	-0,400
1060	-0,285	0,010	9,825	0,046	-0,198	-0,400
1070	-0,285	0,010	9,825	0,046	-0,198	-0,400
1080	-0,285	0,010	9,825	0,046	-0,198	-0,400
1090	-0,285	0,010	9,825	0,046	-0,198	-0,400
1100	-0,285	0,010	9,825	0,046	-0,198	-0,400
1110	-0,285	0,010	9,825	0,046	-0,198	-0,400
1120	-0,285	0,010	9,825	0,046	-0,198	-0,400
1130	-0,285	0,010	9,825	0,046	-0,198	-0,400
1140	-0,285	0,010	9,825	0,046	-0,198	-0,400
1150	-0,285	0,010	9,825	0,046	-0,198	-0,400
1160	-0,285	0,010	9,825	0,046	-0,198	-0,400
1170	-0,285	0,010	9,825	0,046	-0,198	-0,400
1180	-0,285	0,010	9,825	0,046	-0,198	-0,400
1190	-0,285	0,010	9,825	0,046	-0,198	-0,400
1200	-0,285	0,010	9,825	0,046	-0,198	-0,400
1210	-0,285	0,010	9,825	0,046	-0,198	-0,400
1220	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1230	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1240	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1250	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1260	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1270	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1280	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1290	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1300	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1310	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1320	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1330	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1340	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1350	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1360	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1370	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1380	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1390	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1400	-0,067	-0,105	9,789	0,040	-0,178	-0,364
1410	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1420	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1430	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1440	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1450	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1460	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1470	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1480	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1490	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1500	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1510	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1520	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1530	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1540	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1550	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1560	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1570	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1580	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1590	-0,175	-0,249	9,767	0,035	-0,160	-0,328
1600	0,081	-0,000	9,799	0,006	-0,028	-0,056
1610	0,081	-0,000	9,799	0,006	-0,028	-0,056
1620	0,081	-0,000	9,799	0,006	-0,028	-0,056
1630	0,081	-0,000	9,799	0,006	-0,028	-0,056
1640	0,081	-0,000	9,799	0,006	-0,028	-0,056
1650	0,081	-0,000	9,799	0,006	-0,028	-0,056
1660	0,081	-0,000	9,799	0,006	-0,028	-0,056
1670	0,081	-0,000	9,799	0,006	-0,028	-0,056
1680	0,081	-0,000	9,799	0,006	-0,028	-0,056
1690	0,081	-0,000	9,799	0,006	-0,028	-0,056
1700	0,081	-0,000	9,799	0,006	-0,028	-0,056
1710	0,081	-0,000	9,799	0,006	-0,028	-0,056
1720	0,081	-0,000	9,799	0,006	-0,028	-0,056
1730	0,081	-0,000	9,799	0,006	-0,028	-0,056
1740	0,081	-0,000	9,799	0,006	-0,028	-0,056
1750	0,081	-0,000	9,799	0,006	-0,028	-0,056
1760	0,081	-0,000	9,799	0,006	-0,028	-0,056
1770	0,081	-0,000	9,799	0,006	-0,028	-0,056
1780	0,081	-0,000	9,799	0,006	-0,028	-0,056
1790	0,081	-0,000	9,799	0,006	-0,028	-0,056
1800	0,158	-0,503	9,720	0,005	-0,027	-0,053
1810	0,158	-0,503	9,720	0,005	-0,027	-0,053
1820	0,158	-0,503	9,720	0,005	-0,027	-0,053
1830	0,158	-0,503	9,720	0,005	-0,027	-0,053
1840	0,158	-0,503	9,720	0,005	-0,027	-0,053
1850	0,158	-0,503	9,720	0,005	-0,027	-0,053
1860	0,158	-0,503	9,720	0,005	-0,027	-0,053
1870	0,158	-0,503	9,720	0,005	-0,027	-0,053
1880	0,158	-0,503	9,720	0,005	-0,027	-0,053
1890	0,158	-0,503	9,720	0,005	-0,027	-0,053
